age,tenure_months,monthly_spend,support_tickets,is_premium,churned
71,44,118.15,1,0,1
63,57,119.05,8,0,1
36,50,57.92,5,0,0
59,43,21.92,1,1,0
64,20,50.0,2,1,0
59,51,28.54,1,1,0
59,43,100.38,8,0,1
45,66,52.99,5,1,0
31,44,114.51,7,0,1
26,20,23.1,1,0,0
74,17,77.71,2,0,1
62,22,90.72,0,1,0
64,31,116.81,4,1,1
33,40,116.39,7,0,1
54,57,63.48,4,1,0
44,21,100.77,2,1,1
48,48,73.23,1,0,0
66,21,43.64,8,0,1
23,29,100.75,5,0,1
43,65,54.27,6,0,0
19,41,112.74,5,0,1
36,61,88.09,2,1,0
18,11,17.0,3,0,0
64,68,59.44,4,0,0
21,31,59.08,7,0,1
75,64,77.66,0,0,0
36,55,15.16,5,0,0
29,11,69.97,5,0,0
52,65,97.57,8,0,1
48,6,81.75,5,1,0
40,9,51.2,1,1,0
40,70,50.55,2,1,0
48,24,100.21,1,1,1
30,6,98.07,0,1,0
50,51,118.86,8,1,1
66,25,45.04,0,1,0
69,48,60.88,6,1,0
42,44,117.24,7,1,1
69,67,43.01,1,1,0
56,24,72.27,5,0,1
60,38,47.18,6,0,0
40,58,19.45,5,1,0
68,8,22.88,6,1,1
65,21,115.04,2,1,1
22,31,96.74,5,1,0
54,5,78.53,7,1,1
66,10,75.26,8,1,1
59,36,41.21,1,0,0
49,67,55.63,8,0,1
34,58,37.53,4,1,0
26,10,62.46,7,0,1
72,41,85.12,1,1,0
72,21,89.74,2,1,0
25,26,98.17,3,1,1
53,48,64.08,8,0,1
23,9,47.48,7,1,0
70,10,28.16,5,0,1
61,67,51.17,8,0,0
26,56,67.8,0,0,0
37,22,32.01,3,1,0
51,37,103.82,4,0,0
53,36,28.14,4,0,0
28,20,32.98,5,0,0
19,11,19.77,4,0,0
44,4,67.29,8,1,1
37,62,40.71,6,1,0
62,8,31.6,6,1,1
39,19,47.82,5,1,0
26,48,69.07,1,1,0
25,35,62.21,2,0,1
42,54,41.07,2,1,0
64,41,34.93,2,1,0
47,64,107.3,7,0,1
43,65,63.01,3,0,0
21,7,44.54,7,1,1
72,14,60.25,4,1,0
41,6,57.06,8,0,1
36,10,55.57,7,1,0
57,16,28.51,1,1,0
39,72,113.59,2,0,0
43,65,19.23,0,0,0
69,61,69.53,2,0,0
57,41,32.06,4,1,0
50,69,66.43,4,1,0
41,43,85.75,6,1,0
64,4,77.68,4,0,0
55,62,32.9,6,0,0
33,5,75.12,1,0,1
38,54,30.9,3,1,0
57,61,106.65,0,0,0
53,42,119.8,7,1,1
29,59,110.77,5,1,0
73,34,79.06,3,0,0
37,29,113.86,4,1,0
62,63,48.29,5,1,0
54,70,54.87,6,1,0
69,19,45.5,4,0,1
46,33,93.47,3,0,0
35,72,88.1,2,0,0
55,31,40.46,8,0,1
21,13,58.4,7,0,1
26,1,116.27,2,1,0
74,61,65.13,3,1,0
59,8,110.33,1,0,0
64,5,110.89,2,1,0
29,5,119.7,6,1,1
65,38,107.06,0,1,0
24,43,44.88,8,1,0
26,65,64.14,3,0,0
64,59,83.07,2,0,0
68,38,74.62,3,0,0
58,52,101.83,8,1,1
60,13,34.4,2,1,0
33,1,42.38,3,1,0
39,39,76.16,0,1,0
62,31,21.52,1,1,0
43,65,111.93,4,0,0
36,48,79.54,3,0,0
47,48,58.66,8,1,0
69,28,95.0,1,1,0
41,10,111.31,1,0,0
75,65,36.23,8,0,1
72,67,61.39,3,1,0
50,58,99.91,7,0,1
47,8,73.67,4,0,1
70,1,93.31,1,0,0
62,9,71.82,0,0,0
48,5,45.14,2,0,0
64,54,54.32,6,1,0
42,49,23.43,8,0,0
40,16,33.74,8,1,1
64,29,102.66,0,1,0
64,70,59.53,6,0,0
40,20,43.94,1,0,0
44,3,40.27,1,0,0
46,7,40.7,0,1,0
52,28,94.21,0,0,0
36,30,100.66,5,1,1
74,19,118.5,8,0,1
35,8,73.46,2,1,0
21,45,113.87,6,1,0
44,20,46.49,2,1,0
32,39,105.04,2,1,0
53,53,116.62,8,0,1
34,27,49.68,1,1,0
23,69,91.08,3,0,0
61,6,106.73,3,0,1
73,43,46.83,0,0,0
65,16,93.42,7,0,1
63,27,56.65,3,1,0
42,60,71.03,5,1,0
50,64,63.93,7,1,0
41,41,58.46,3,0,1
53,54,46.0,3,1,0
54,32,67.43,5,1,0
49,63,63.39,5,0,1
52,63,34.33,8,0,0
71,10,114.24,0,0,0
71,30,22.14,2,0,0
47,48,21.35,7,1,1
52,71,58.19,0,1,0
36,3,67.73,6,0,1
